model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 GT86,2019,25850,Manual,4442,Petrol,145,33.2,2.0
 GT86,2014,13495,Manual,24667,Petrol,265,36.2,2.0
 GT86,2017,18495,Semi-Auto,13930,Petrol,150,39.8,2.0
 GT86,2020,25499,Manual,614,Petrol,145,33.2,2.0
 GT86,2017,18621,Manual,18544,Petrol,150,36.2,2.0
 GT86,2019,25121,Manual,7056,Petrol,145,33.2,2.0
 GT86,2017,17500,Manual,11898,Petrol,145,36.2,2.0
 GT86,2013,11599,Automatic,28335,Petrol,200,39.8,2.0
 GT86,2017,17249,Manual,10089,Petrol,145,36.2,2.0
 GT86,2020,25995,Manual,3250,Petrol,145,33.2,2.0
 GT86,2014,13000,Manual,39761,Petrol,265,36.2,2.0
 GT86,2017,17250,Manual,19420,Petrol,145,36.2,2.0
 GT86,2019,27950,Manual,489,Petrol,145,33.2,2.0
 GT86,2020,27995,Manual,1055,Petrol,145,33.2,2.0
 GT86,2016,13999,Manual,19987,Petrol,260,36.2,2.0
 GT86,2012,9995,Automatic,74599,Petrol,200,39.8,2.0
 GT86,2015,10499,Automatic,81206,Petrol,200,39.8,2.0
 GT86,2012,11995,Manual,53000,Petrol,250,36.2,2.0
 GT86,2015,13495,Manual,49000,Petrol,265,36.2,2.0
 GT86,2019,24990,Automatic,4000,Petrol,145,32.8,2.0
 Corolla,2019,22500,Automatic,8006,Other,140,85.6,1.8
 Corolla,2005,1300,Manual,129000,Petrol,260,36.7,1.8
 Corolla,2019,20250,Automatic,7445,Hybrid,140,85.6,1.8
 Corolla,2020,26980,Automatic,5000,Hybrid,135,72.4,2.0
 Corolla,2019,21995,Automatic,8789,Hybrid,135,85.6,1.8
 Corolla,2019,18995,Manual,2193,Petrol,145,39.2,1.2
 Corolla,2019,22498,Automatic,9798,Hybrid,135,78.5,1.8
 Corolla,2019,20998,Automatic,8442,Hybrid,135,85.6,1.8
 Corolla,2019,27990,Automatic,3650,Hybrid,135,72.4,2.0
 Corolla,2019,22520,Automatic,7666,Hybrid,135,85.6,1.8
 Corolla,2019,17440,Manual,6346,Petrol,145,39.2,1.2
 Corolla,2019,22990,Automatic,9000,Hybrid,135,78.5,1.8
 Corolla,2019,25570,Automatic,3196,Hybrid,135,72.4,2.0
 Corolla,2019,19998,Automatic,1992,Hybrid,135,85.6,1.8
 Corolla,2019,23990,Automatic,9500,Hybrid,135,78.5,1.8
 Corolla,2019,19995,Automatic,12158,Hybrid,135,85.6,1.8
 Corolla,2019,24995,Automatic,5500,Hybrid,135,72.4,2.0
 Corolla,2019,24995,Automatic,1350,Hybrid,135,72.4,2.0
 Corolla,2019,23440,Automatic,5000,Hybrid,135,78.5,1.8
 Corolla,2019,21990,Automatic,9278,Hybrid,135,85.6,1.8
 Corolla,2019,24995,Automatic,5500,Hybrid,135,72.4,2.0
 Corolla,2019,24995,Automatic,1350,Hybrid,135,72.4,2.0
 Corolla,2019,23440,Automatic,5000,Hybrid,135,78.5,1.8
 Corolla,2019,21990,Automatic,9278,Hybrid,135,85.6,1.8
 Corolla,2019,20990,Automatic,5000,Hybrid,135,85.6,1.8
 Corolla,2019,19990,Automatic,10500,Hybrid,135,85.6,1.8
 Corolla,2019,21995,Automatic,9100,Hybrid,135,58.9,1.8
 Corolla,2019,22070,Automatic,9304,Hybrid,135,78.5,1.8
 Corolla,2019,22490,Automatic,9500,Hybrid,135,85.6,1.8
 Corolla,2019,15990,Manual,3500,Petrol,145,39.2,1.2
 Corolla,2019,21998,Automatic,9023,Hybrid,135,72.4,2.0
 Corolla,2019,22075,Automatic,9684,Hybrid,135,85.6,1.8
 Corolla,2020,28990,Automatic,2000,Hybrid,140,53.3,2.0
 Corolla,2019,16995,Manual,6503,Petrol,145,39.2,1.2
 Corolla,2019,18498,Manual,5087,Petrol,145,39.2,1.2
 Corolla,2019,25995,Automatic,1751,Hybrid,135,72.4,2.0
 Corolla,2019,24998,Automatic,6195,Hybrid,140,72.4,2.0
 Corolla,2019,23500,Automatic,4720,Hybrid,135,78.5,1.8
 Corolla,2019,21750,Automatic,2839,Hybrid,135,85.6,1.8
 Corolla,2019,21000,Automatic,11408,Hybrid,135,85.6,1.8
 Corolla,2019,23000,Automatic,6788,Hybrid,135,85.6,1.8
 Corolla,2019,25000,Automatic,2430,Hybrid,140,78.5,1.8
 Corolla,2019,23000,Automatic,3579,Hybrid,135,72.4,2.0
 Corolla,2019,24000,Automatic,6415,Hybrid,135,72.4,2.0
 Corolla,2019,22500,Automatic,9493,Hybrid,135,78.5,1.8
 Corolla,2019,22790,Automatic,5830,Hybrid,135,72.4,2.0
 Corolla,2019,22790,Automatic,9781,Hybrid,135,72.4,2.0
 Corolla,2019,21490,Automatic,8950,Hybrid,135,72.4,2.0
 Corolla,2019,17250,Manual,12000,Petrol,145,39.2,1.2
 Corolla,2019,15998,Manual,7016,Petrol,145,39.2,1.2
 Corolla,2019,20498,Automatic,13872,Hybrid,140,72.4,2.0
 Corolla,2019,15990,Manual,2336,Petrol,145,39.2,1.2
 Corolla,2019,20488,Automatic,3892,Hybrid,140,58.9,1.8
 Corolla,2019,20288,Manual,4886,Petrol,150,39.2,1.2
 Corolla,2019,17995,Manual,9770,Petrol,145,39.2,1.2
 Corolla,2019,16490,Manual,8599,Petrol,145,39.2,1.2
 Corolla,2019,15990,Manual,5346,Petrol,145,39.2,1.2
 Corolla,2019,18290,Manual,3250,Petrol,145,39.2,1.2
 Corolla,2019,19998,Manual,4290,Petrol,150,39.2,1.2
 Corolla,2019,23888,Automatic,3497,Hybrid,140,72.4,2.0
 Corolla,2019,15990,Manual,6449,Petrol,145,39.2,1.2
 Corolla,2020,27495,Automatic,998,Hybrid,135,53.3,2.0
 Corolla,2019,23448,Automatic,3988,Hybrid,135,72.4,2.0
 Corolla,2019,22990,Automatic,5268,Hybrid,135,72.4,2.0
 Corolla,2019,18295,Manual,1110,Petrol,145,39.2,1.2
 Corolla,2019,18995,Manual,1436,Petrol,145,39.2,1.2
 Corolla,2019,21490,Automatic,9296,Hybrid,135,58.9,1.8
 Corolla,2019,22790,Automatic,8322,Hybrid,135,72.4,2.0
 Corolla,2019,17490,Manual,9000,Petrol,145,39.2,1.2
 Corolla,2019,24388,Automatic,8000,Hybrid,135,72.4,2.0
 Corolla,2020,25988,Automatic,10000,Hybrid,135,53.3,2.0
 Corolla,2019,16490,Manual,8328,Petrol,145,39.2,1.2
 Corolla,2019,21790,Automatic,10836,Hybrid,135,78.5,1.8
 Corolla,2019,17995,Manual,6551,Petrol,145,39.2,1.2
 Corolla,2019,24795,Automatic,6770,Hybrid,135,72.4,2.0
 Corolla,2019,18995,Manual,500,Petrol,145,39.2,1.2
 Corolla,2019,19995,Manual,500,Petrol,145,39.2,1.2
 Corolla,2019,22595,Automatic,10500,Hybrid,135,72.4,2.0
 Corolla,2019,25595,Automatic,1215,Hybrid,135,78.5,1.8
 Corolla,2019,23445,Automatic,5558,Hybrid,135,78.5,1.8
 Corolla,2019,23395,Automatic,6125,Hybrid,135,78.5,1.8
 Corolla,2019,23445,Automatic,2620,Hybrid,135,78.5,1.8
 Corolla,2019,24998,Automatic,2474,Hybrid,140,72.4,2.0
 Corolla,2019,23498,Automatic,6513,Hybrid,140,78.5,1.8
 Corolla,2019,23995,Automatic,6989,Hybrid,135,72.4,2.0
 Corolla,2019,22995,Automatic,11000,Hybrid,140,72.4,2.0
 Corolla,2019,22995,Automatic,3754,Hybrid,135,78.5,1.8
 Corolla,2020,28815,Automatic,987,Hybrid,140,53.3,2.0
 Corolla,2019,19995,Automatic,11293,Hybrid,135,85.6,1.8
 Corolla,2019,19995,Automatic,5674,Hybrid,140,85.6,1.8
 Corolla,2019,23995,Automatic,9250,Hybrid,135,72.4,2.0
 Corolla,2019,23495,Manual,5600,Petrol,145,39.2,1.2
 Corolla,2020,27995,Automatic,2500,Hybrid,135,53.3,2.0
 Corolla,2019,21000,Automatic,11449,Hybrid,140,78.5,1.8
 Corolla,2020,28000,Automatic,10,Hybrid,140,56.5,1.8
 Corolla,2019,17999,Manual,3510,Petrol,145,39.2,1.2
 Corolla,2019,20497,Automatic,4412,Hybrid,135,78.5,1.8
 Corolla,2019,23500,Automatic,10016,Hybrid,135,78.5,1.8
 Corolla,2019,21665,Automatic,11051,Hybrid,135,85.6,1.8
 Corolla,2019,21280,Manual,5102,Petrol,145,39.2,1.2
 Corolla,2019,24960,Automatic,2535,Hybrid,135,72.4,2.0
 Corolla,2019,19540,Manual,8970,Petrol,145,39.2,1.2
 Corolla,2019,20110,Automatic,5922,Hybrid,135,85.6,1.8
 Corolla,2019,23060,Automatic,15631,Hybrid,135,72.4,2.0
 Corolla,2020,26991,Automatic,3636,Hybrid,140,53.3,2.0
 Corolla,2019,22900,Automatic,5910,Hybrid,135,85.6,1.8
 Corolla,2019,24025,Automatic,8812,Hybrid,135,78.5,1.8
 Corolla,2019,26495,Automatic,1000,Hybrid,135,72.4,2.0
 Corolla,2019,27795,Automatic,1000,Hybrid,135,72.4,2.0
 Corolla,2019,22999,Automatic,4113,Hybrid,135,85.6,1.8
 Corolla,2019,21999,Automatic,8171,Hybrid,135,78.5,1.8
 Corolla,2019,19990,Manual,3422,Petrol,145,39.2,1.2
 Corolla,2019,19900,Manual,6522,Petrol,145,39.2,1.2
 Corolla,2019,22000,Automatic,11478,Hybrid,135,78.5,1.8
 Corolla,2019,19290,Manual,10011,Petrol,150,39.2,1.2
 Corolla,2019,19995,Manual,7777,Petrol,145,39.2,1.2
 Corolla,2019,23888,Automatic,14417,Hybrid,140,72.4,2.0
 Corolla,2019,22495,Automatic,2034,Hybrid,140,78.5,1.8
 Corolla,2020,28495,Automatic,2141,Hybrid,140,56.5,1.8
 Corolla,2019,25195,Automatic,3998,Hybrid,135,72.4,2.0
 Corolla,2019,21495,Automatic,10420,Hybrid,140,85.6,1.8
 Corolla,2019,21790,Automatic,10120,Hybrid,140,78.5,1.8
 Corolla,2020,24995,Automatic,3989,Hybrid,135,57.7,1.8
 Corolla,2020,22995,Automatic,636,Hybrid,135,62.8,1.8
 Corolla,2019,26995,Automatic,3000,Hybrid,140,72.4,2.0
 Corolla,2019,21995,Automatic,9333,Hybrid,135,78.5,1.8
 Corolla,2019,17495,Manual,999,Petrol,145,39.2,1.2
 Corolla,2019,22050,Automatic,12000,Hybrid,135,72.4,2.0
 Corolla,2020,28795,Automatic,1544,Hybrid,135,53.3,2.0
 Corolla,2020,20692,Manual,7345,Petrol,145,39.2,1.2
 Corolla,2019,21495,Automatic,20657,Hybrid,140,85.6,1.8
 Corolla,2019,22514,Automatic,8309,Hybrid,135,78.5,1.8
 Corolla,2020,29450,Automatic,943,Hybrid,135,53.3,2.0
 Corolla,2020,26950,Automatic,3168,Hybrid,135,53.3,2.0
 Corolla,2020,24995,Automatic,2136,Hybrid,135,56.5,1.8
 Corolla,2019,23000,Automatic,6158,Hybrid,140,72.4,2.0
 Corolla,2019,20689,Automatic,7963,Hybrid,135,85.6,1.8
 Corolla,2019,19219,Manual,384,Petrol,145,39.2,1.2
 Corolla,2019,21991,Automatic,5000,Hybrid,135,78.5,1.8
 RAV4,2016,14998,Manual,40054,Diesel,125,60.1,2.0
 RAV4,2013,10998,Automatic,45322,Diesel,260,42.2,2.2
 RAV4,2016,13498,Manual,32061,Diesel,125,60.1,2.0
 RAV4,2017,17500,Automatic,26528,Petrol,145,43.5,2.0
 RAV4,2017,16498,Automatic,37539,Petrol,200,43.5,2.0
 RAV4,2014,9698,Manual,80049,Diesel,145,53.0,2.0
 RAV4,2016,14817,Manual,35286,Diesel,125,60.1,2.0
 RAV4,2019,29399,Automatic,9650,Hybrid,135,51.1,2.5
 RAV4,2019,32995,Automatic,7017,Hybrid,135,49.6,2.5
 RAV4,2016,19995,Automatic,40827,Hybrid,20,55.4,2.5
 RAV4,2016,20495,Automatic,18000,Hybrid,20,57.6,2.5
 RAV4,2016,21495,Automatic,29489,Hybrid,20,55.4,2.5
 RAV4,2019,29995,Automatic,20124,Hybrid,140,51.1,2.5
 RAV4,2016,20495,Automatic,41060,Hybrid,20,55.4,2.5
 RAV4,2017,20795,Automatic,25000,Hybrid,20,57.6,2.5
 RAV4,2015,11995,Manual,49150,Diesel,125,57.6,2.0
 RAV4,2016,13995,Manual,71046,Diesel,125,60.1,2.0
 RAV4,2014,12995,Manual,69401,Diesel,125,57.6,2.0
 RAV4,2016,14495,Manual,49097,Diesel,125,60.1,2.0
 RAV4,2016,14695,Manual,39591,Diesel,125,60.1,2.0
 RAV4,2019,29498,Automatic,9727,Hybrid,135,49.6,2.5
 RAV4,2019,31498,Automatic,9258,Hybrid,135,49.6,2.5
 RAV4,2014,11498,Automatic,47545,Diesel,260,42.2,2.2
 RAV4,2014,10998,Manual,50709,Diesel,150,53.0,2.0
 RAV4,2017,20498,Automatic,10957,Petrol,150,43.5,2.0
 RAV4,2013,10498,Manual,54057,Diesel,160,49.6,2.2
 RAV4,2015,9998,Manual,60998,Diesel,125,57.6,2.0
 RAV4,2015,12998,Manual,41486,Diesel,145,53.0,2.0
 RAV4,2017,13998,Manual,48713,Diesel,125,60.1,2.0
 RAV4,2017,14698,Manual,50039,Diesel,145,60.1,2.0
 RAV4,2019,28998,Automatic,10910,Hybrid,135,51.1,2.5
 RAV4,2018,19698,Automatic,21893,Petrol,145,43.5,2.0
 RAV4,2015,15298,Semi-Auto,21232,Petrol,235,39.2,2.0
 RAV4,2019,37440,Automatic,2764,Hybrid,135,51.1,2.5
 RAV4,2016,20990,Automatic,18880,Hybrid,20,57.6,2.5
 RAV4,2017,19998,Automatic,10028,Petrol,145,43.5,2.0
 RAV4,2017,20990,Automatic,29515,Hybrid,20,57.6,2.5
 RAV4,2016,23990,Automatic,25614,Hybrid,20,55.4,2.5
 RAV4,2016,23990,Automatic,20101,Hybrid,20,55.4,2.5
 RAV4,2016,13495,Manual,30124,Diesel,125,60.1,2.0
 RAV4,2017,15995,Manual,59205,Diesel,125,60.1,2.0
 RAV4,2016,17495,Automatic,58100,Hybrid,20,55.4,2.5
 RAV4,2014,12998,Automatic,41389,Diesel,260,42.2,2.2
 RAV4,2016,13998,Manual,36030,Diesel,125,60.1,2.0
 RAV4,2017,14998,Manual,32087,Diesel,145,60.1,2.0
 RAV4,2016,19498,Automatic,19618,Hybrid,20,57.6,2.5
 RAV4,2019,34990,Automatic,5000,Hybrid,135,49.6,2.5
 RAV4,2015,9998,Manual,81503,Diesel,125,57.6,2.0
 RAV4,2017,16295,Manual,34633,Diesel,125,60.1,2.0
 RAV4,2016,17495,Automatic,58100,Hybrid,20,55.4,2.5
 RAV4,2017,16295,Manual,34633,Diesel,125,60.1,2.0
 RAV4,2015,13495,Manual,28308,Diesel,150,53.0,2.0
 RAV4,2016,15200,Manual,27232,Diesel,125,60.1,2.0
 RAV4,2017,24070,Automatic,14766,Hybrid,135,55.4,2.5
 RAV4,2016,19970,Automatic,35445,Hybrid,20,57.6,2.5
 RAV4,2019,29570,Automatic,7823,Hybrid,135,51.1,2.5
 RAV4,2017,14498,Manual,41201,Diesel,145,60.1,2.0
 RAV4,2016,17995,Automatic,49254,Hybrid,20,55.4,2.5
 RAV4,2019,27570,Automatic,15581,Hybrid,135,52.3,2.5
 RAV4,2019,34990,Automatic,5660,Hybrid,140,49.6,2.5
 RAV4,2015,14490,Automatic,59454,Diesel,265,42.2,2.2
 RAV4,2017,14495,Manual,37893,Diesel,125,60.1,2.0
 RAV4,2017,23070,Automatic,23605,Hybrid,20,55.4,2.5
 RAV4,2019,29995,Automatic,9709,Hybrid,135,49.6,2.5
 RAV4,2014,9798,Manual,77512,Diesel,145,53.0,2.0
 RAV4,2016,14498,Manual,23485,Diesel,125,60.1,2.0
 RAV4,2016,14998,Manual,28083,Diesel,125,60.1,2.0
 RAV4,2014,11998,Semi-Auto,51258,Petrol,235,39.2,2.0
 RAV4,2014,10995,Manual,59627,Diesel,125,57.6,2.0
 RAV4,2019,27293,Automatic,19814,Hybrid,135,49.6,2.5
 RAV4,2017,19988,Automatic,31057,Hybrid,135,57.6,2.5
 RAV4,2014,9998,Manual,78650,Diesel,160,49.6,2.2
 RAV4,2017,21971,Automatic,37258,Hybrid,20,55.4,2.5
 RAV4,2016,19452,Automatic,27176,Hybrid,20,57.6,2.5
 RAV4,2017,20667,Automatic,25000,Hybrid,20,57.6,2.5
 RAV4,2013,10990,Automatic,45000,Diesel,260,42.2,2.2
 RAV4,2017,18495,Automatic,40101,Hybrid,20,57.6,2.5
 RAV4,2016,13995,Manual,38338,Diesel,125,60.1,2.0
 RAV4,2019,31995,Automatic,11970,Hybrid,140,49.6,2.5
 RAV4,2019,31995,Automatic,11728,Hybrid,140,49.6,2.5
 RAV4,2017,19990,Automatic,29802,Hybrid,135,55.4,2.5
 RAV4,2016,14295,Manual,31887,Diesel,125,60.1,2.0
 RAV4,2017,22795,Automatic,20216,Hybrid,20,55.4,2.5
 RAV4,2016,18500,Automatic,46035,Hybrid,20,55.4,2.5
 RAV4,2015,11495,Manual,44652,Diesel,150,53.0,2.0
 RAV4,2014,10999,Manual,57942,Diesel,145,53.0,2.0
 RAV4,2017,21998,Automatic,13285,Hybrid,135,57.6,2.5
 RAV4,2016,17250,Automatic,60602,Hybrid,20,55.4,2.5
 RAV4,2016,18695,Automatic,46035,Hybrid,20,55.4,2.5
 RAV4,2017,13998,Manual,32815,Diesel,125,60.1,2.0
 RAV4,2014,9780,Manual,88870,Diesel,125,57.6,2.0
 RAV4,2016,18998,Automatic,30117,Hybrid,20,57.6,2.5
 RAV4,2015,10995,Manual,63000,Diesel,165,49.6,2.2
 RAV4,2017,22995,Automatic,28486,Hybrid,20,55.4,2.5
 RAV4,2016,19490,Automatic,30000,Hybrid,20,57.6,2.5
 RAV4,2015,12480,Automatic,45848,Diesel,265,42.2,2.2
 RAV4,2017,21000,Automatic,27999,Hybrid,135,57.6,2.5
 RAV4,2016,21000,Automatic,31059,Hybrid,20,55.4,2.5
 RAV4,2014,10999,Manual,57942,Diesel,145,53.0,2.0
 RAV4,2017,22000,Automatic,19511,Hybrid,20,55.4,2.5
 RAV4,2016,12498,Manual,49814,Diesel,125,60.1,2.0
 RAV4,2018,25500,Automatic,18861,Hybrid,135,55.4,2.5
 RAV4,2017,19998,Automatic,41351,Hybrid,20,55.4,2.5
 RAV4,2013,9990,Manual,59934,Diesel,165,49.6,2.2
 RAV4,2017,16675,Manual,22565,Diesel,125,60.1,2.0
 RAV4,2019,29000,Automatic,10853,Hybrid,135,51.1,2.5
 RAV4,2016,13000,Manual,56437,Diesel,125,60.1,2.0
 RAV4,2016,23000,Automatic,15364,Hybrid,20,55.4,2.5
 RAV4,2013,9945,Manual,62541,Diesel,165,49.6,2.2
 RAV4,2019,33880,Automatic,7576,Hybrid,140,49.6,2.5
 RAV4,2017,21480,Automatic,39833,Hybrid,20,55.4,2.5
 RAV4,2015,13500,Manual,45757,Diesel,125,57.6,2.0
 RAV4,2015,13500,Manual,45757,Diesel,125,57.6,2.0
 RAV4,2019,27790,Automatic,16360,Hybrid,135,51.1,2.5
 RAV4,2016,17795,Automatic,37852,Hybrid,20,57.6,2.5
 RAV4,2016,21298,Automatic,4671,Hybrid,20,57.6,2.5
 RAV4,2016,19287,Automatic,49962,Hybrid,20,55.4,2.5
 RAV4,2013,9250,Manual,70964,Diesel,165,49.6,2.2
 RAV4,2014,11000,Manual,52561,Diesel,125,57.6,2.0
 RAV4,2015,13200,Manual,10763,Diesel,125,57.6,2.0
 RAV4,2019,29980,Automatic,6691,Hybrid,135,49.6,2.5
 RAV4,2016,19995,Automatic,24757,Hybrid,20,57.6,2.5
 RAV4,2016,18995,Automatic,43546,Hybrid,20,55.4,2.5
 RAV4,2017,19480,Automatic,10985,Petrol,200,43.5,2.0
 RAV4,2016,18498,Automatic,31522,Hybrid,20,57.6,2.5
 RAV4,2017,18490,Automatic,30305,Petrol,145,43.5,2.0
 RAV4,2016,19490,Automatic,32311,Hybrid,20,57.6,2.5
 RAV4,2017,22995,Automatic,25889,Hybrid,20,55.4,2.5
 RAV4,2017,18995,Automatic,39000,Hybrid,140,57.6,2.5
 RAV4,2017,18490,Automatic,30724,Petrol,205,43.5,2.0
 RAV4,2014,10490,Manual,67712,Diesel,150,53.0,2.0
 RAV4,2016,16980,Automatic,24560,Petrol,205,43.5,2.0
 RAV4,2014,10995,Manual,49429,Diesel,150,53.0,2.0
 RAV4,2016,21495,Automatic,13586,Hybrid,20,57.6,2.5
 RAV4,2019,33595,Automatic,8000,Hybrid,140,49.6,2.5
 RAV4,2016,14995,Manual,27762,Diesel,125,60.1,2.0
 RAV4,2016,21995,Automatic,16000,Hybrid,20,55.4,2.5
 RAV4,2016,14295,Manual,22262,Diesel,125,60.1,2.0
 RAV4,2017,17390,Automatic,28546,Petrol,205,43.5,2.0
 RAV4,2016,16980,Manual,19570,Diesel,125,60.1,2.0
 RAV4,2017,12998,Manual,57423,Diesel,150,60.1,2.0
 RAV4,2017,20290,Automatic,27498,Hybrid,140,57.6,2.5
 RAV4,2017,20690,Automatic,48265,Hybrid,20,55.4,2.5
 RAV4,2016,13290,Manual,38655,Diesel,125,60.1,2.0
 RAV4,2017,19000,Automatic,16000,Petrol,200,43.5,2.0
 RAV4,2017,20498,Automatic,20829,Hybrid,135,57.6,2.5
 RAV4,2016,19490,Automatic,11544,Hybrid,20,57.6,2.5
 RAV4,2016,21990,Automatic,39039,Hybrid,20,55.4,2.5
 RAV4,2020,31790,Automatic,1652,Hybrid,135,49.6,2.5
 RAV4,2016,15990,Manual,20553,Diesel,125,60.1,2.0
 RAV4,2016,20790,Automatic,32132,Hybrid,20,55.4,2.5
 RAV4,2017,19995,Automatic,30489,Hybrid,140,57.6,2.5
 RAV4,2015,13690,Automatic,50417,Diesel,265,42.2,2.2
 RAV4,2017,21990,Automatic,14562,Hybrid,20,57.6,2.5
 RAV4,2016,18490,Automatic,40049,Hybrid,20,57.6,2.5
 RAV4,2013,11995,Manual,29445,Diesel,160,49.6,2.2
 RAV4,2018,22995,Automatic,13833,Petrol,145,43.5,2.0
 RAV4,2016,18995,Automatic,31492,Hybrid,20,57.6,2.5
 RAV4,2016,18710,Automatic,37971,Hybrid,20,57.6,2.5
 RAV4,2017,18798,Automatic,37386,Hybrid,20,57.6,2.5
 RAV4,2017,20995,Automatic,25601,Hybrid,20,57.6,2.5
 RAV4,2016,13610,Automatic,60841,Petrol,200,43.5,2.0
 RAV4,2017,20990,Automatic,17681,Petrol,145,43.5,2.0
 RAV4,2017,19995,Automatic,39343,Hybrid,20,57.6,2.5
 RAV4,2016,23995,Automatic,16551,Hybrid,20,55.4,2.5
 RAV4,2017,19995,Automatic,29655,Hybrid,140,57.6,2.5
 RAV4,2017,21498,Automatic,21263,Hybrid,20,57.6,2.5
 RAV4,2017,21995,Automatic,22329,Hybrid,20,57.6,2.5
 RAV4,2016,14995,Manual,25801,Diesel,125,60.1,2.0
 RAV4,2015,11795,Automatic,48125,Diesel,260,42.2,2.2
 RAV4,2016,18995,Automatic,46531,Hybrid,20,57.6,2.5
 RAV4,2017,20000,Automatic,25303,Hybrid,20,57.6,2.5
 RAV4,2017,21795,Automatic,22726,Hybrid,20,57.6,2.5
 RAV4,2017,15295,Manual,39624,Diesel,145,60.1,2.0
 RAV4,2017,21095,Automatic,8992,Hybrid,20,57.6,2.5
 RAV4,2017,19995,Automatic,31685,Hybrid,20,55.4,2.5
 RAV4,2017,21500,Automatic,27751,Hybrid,20,55.4,2.5
 RAV4,2018,19990,Automatic,23165,Petrol,145,43.5,2.0
 RAV4,2015,9547,Manual,60148,Diesel,125,57.6,2.0
 RAV4,2018,25980,Automatic,10864,Hybrid,140,55.4,2.5
 RAV4,2020,33995,Automatic,1500,Hybrid,135,51.1,2.5
 RAV4,2017,15995,Manual,22864,Diesel,145,60.1,2.0
 RAV4,2016,14499,Manual,32070,Diesel,125,60.1,2.0
 RAV4,2017,14450,Manual,61000,Diesel,150,60.1,2.0
 RAV4,2016,20349,Automatic,8080,Hybrid,20,57.6,2.5
 RAV4,2016,13900,Manual,14152,Diesel,125,60.1,2.0
 RAV4,2016,18590,Automatic,30635,Hybrid,20,57.6,2.5
 RAV4,2016,13790,Manual,37849,Diesel,125,60.1,2.0
 RAV4,2016,14288,Manual,30100,Diesel,125,60.1,2.0
 RAV4,2015,13499,Manual,18200,Diesel,125,57.6,2.0
 RAV4,2017,16711,Manual,17000,Diesel,125,60.1,2.0
 RAV4,2015,13330,Automatic,36426,Petrol,235,39.2,2.0
 RAV4,2016,13999,Manual,31457,Diesel,125,60.1,2.0
 RAV4,2014,12495,Manual,30726,Diesel,145,53.0,2.0
 RAV4,2016,18999,Automatic,24770,Hybrid,20,57.6,2.5
 RAV4,2017,18562,Manual,11556,Diesel,125,60.1,2.0
 RAV4,2017,15293,Manual,26191,Diesel,125,60.1,2.0
 RAV4,2019,33626,Automatic,7191,Hybrid,135,49.6,2.5
 RAV4,2015,12711,Manual,56203,Diesel,150,53.0,2.0
 RAV4,2013,10311,Manual,57299,Diesel,165,49.6,2.2
 RAV4,2016,20298,Automatic,18078,Hybrid,20,57.6,2.5
 RAV4,2017,17235,Automatic,65452,Hybrid,20,57.6,2.5
 RAV4,2017,21508,Automatic,17807,Hybrid,20,57.6,2.5
